id,term,related_terms,description,image_src,desc_src
0,toolhead,"extruder, hotend, nozzle, print head",The 3D printing Toolhead allows you to 3D print objects using the FFD (fuse filament deposition) method. This method consists in thermo extrude plastic filament through a hot-end.,"http://www.diyouware.com/node/176
","https://www.lulzbot.com/learn/in-the-news/precision-meets-versatility-3d-printing-aerostruder-tool-head
"
1,belt,,"When dealing with a 3D printer, accuracy is crucial for obtaining good results. If something comes loose in the middle of the print, or doesn’t move exactly the way it should, it will be clearly visible in the print. Thus, when concerning yourself with a 3D printer belt, it’s very important to make sure that its movements are as controlled and accurate as possible. The use of stepper motors can help provide more advanced control, but it’s useless if the belt slips.",https://all3dp.com/2/3d-printer-belt-what-to-consider-and-which-to-buy/,https://all3dp.com/2/3d-printer-belt-what-to-consider-and-which-to-buy/
2,set-screw,grub screw,"Many 3D printers also include a series of belts that are driven by pulleys attached to a stepper motor shaft using a small set-screw (otherwise known as a grub screw). These set-screws anchor the pulley to the shaft of the motor so that the two items spin together. However, if the set-screw loosens, the pulley will no longer rotate together with the motor shaft.",,https://www.simplify3d.com/support/print-quality-troubleshooting/layer-shifting/
3,motor,stepper motor,"Stepper motors are relatively simple mechanisms: A series of electromagnetic coils are activated in a specific sequence to spin a motor shaft a precise number of degrees. The NEMA specification is what allows stepper motors to be identified, and references the size of the faceplate of the motor.
Most 3D printers utilize NEMA 17 stepper motors. There are many popular variations, each having different physical qualities suitable for different applications. These are primarily distinguished by torque rating, in Newton Centimeters (N⋅cm).
The three popular varieties tend to be around 20-25 N⋅cm, 40-45 N⋅cm, and 50-56 N⋅cm.",https://all3dp.com/2/3d-printer-stepper-motor-what-to-consider-and-which-to-choose-2/,https://all3dp.com/2/3d-printer-stepper-motor-what-to-consider-and-which-to-choose-2/
4,jerk/acceleration setting,,"The Jerk setting measures the speed at which your print head moves from its still position. The higher the setting, the faster it will move off from a stable position, the lower the setting, the slower it will move off from a stable position. The Acceleration setting measures how fast your print head speeds up, limited by your designated 3D printer speed in your slicer settings.
The higher the setting, the quicker the print head will get to its maximum speed, the lower the setting, the slower the print head will get to its maximum speed.",,https://3dprinterly.com/how-to-get-the-perfect-jerk-acceleration-setting/
5,bed,"build place, build surface, heated bed",A print bed is the surface of a 3D printer where a print head lays down the materials that make up a 3D print. A 3D printer requires the print bed to be level and flat in order to successfully produce layers of media in filament form that make up a 3D-printed object.,https://all3dp.com/2/ender-3-bed-leveling-all-you-need-to-know/,https://whatis.techtarget.com/definition/print-bed
6,z hop,retraction,The specified z hop value is the distance the nozzle gets lifted away from the surface of the model during retraction. This helps prevent nozzle from scratching again the printed part when traveling across.,https://support.bcn3d.com/knowledge/travel,https://www.ideamaker.io/dictionaryDetail.html?name=Z%20Hop%20at%20Retraction&category_name=Extruder
7,z screw,,"The z-axis of a 3D printer is the vertical axis, so to travel in the z-direction is to move through the layers rather than along them.",https://atmelcorporation.wordpress.com/2016/02/04/a-3d-printer-with-fully-auomated-bed-leveling-and-tool-height-adjustment/,https://www.electronicsweekly.com/blogs/engineer-in-wonderland/3d-printing-z-wobble-2019-01/
8,wheel,,,https://www.amazon.com/Befenybay-Buckle-Aluminum-Profile-Printer/dp/B08M3JKKZY/ref=asc_df_B08M3JKKZY/?tag=hyprod-20&linkCode=df0&hvadid=475790020230&hvpos=&hvnetw=g&hvrand=5332544928892138368&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9027902&hvtargid=pla-1165305931901&psc=1,
9,slicer,Cura,"A slicer is a program that converts digital 3D models into printing instructions for a given 3D printer to build an object. In addition to the model itself, the instructions contain user-entered 3D printing parameters, such as layer height, speed, and support structure settings.",,https://all3dp.com/2/what-is-a-3d-slicer-simply-explained/
10,estep,"e-step calibration, e-step","E-steps are the number of steps the extruder needs to make to extrude one millimeter of filament, and when you calibrate the extruder, you will need to change this value to make sure that it is set correctly. Reference: https://all3dp.com/2/extruder-calibration-6-easy-steps-2/",,https://all3dp.com/2/what-is-e-step-calibration-simply-explained/
11,flow,"flow %, flow rate","3D printer flow rate, or the extrusion multiplier, refers to the slicer setting that determines the amount of plastic to extrude. By default, the flow rate is set to 1.0 or 100% depending on the slicer. When you set the flow rate to 1.1 or 110% you are increasing the flow rate by 10%.",http://best-cheap-3dprinters.com/calibrating-material-flow-rate-3d-printer/,https://www.nikkoindustries.com/blogs/news/what-is-flow-rate-and-how-does-it-affect-your-3d-prints
12,fan,,"The layer fan is a small fan placed in the 3D printer head, aimed at the printed part and cools the plastic as it comes out of the hot end. The job of the layer fan is to cool the plastic once it has been deposited so that the part solidifies quickly and the molten plastic does not become deformed.",https://www.amazon.com/Creality-Original-40x40x10MM-Cooling-3D/dp/B07FTNCC9B/ref=asc_df_B07FTNCC9B/?tag=hyprod-20&linkCode=df0&hvadid=312148796847&hvpos=&hvnetw=g&hvrand=11918700240182203221&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9027902&hvtargid=pla-569999753224&psc=1,https://bitfab.io/blog/layer-fan-3d-printing/
