case_id,priority,difficulty_level,title,clue_id,clue,case_content,solution,tutorial_webdoc,tutorial_video
0,0,0,Retraction Distance,,,Retraction Distance: Adjust retraction distance ,"If you encounter stringing with your prints, try increasing the retraction distance by 1mm and test again to see if the performance improves. What you could also try is retraction tower calibration from: [https://teachingtechyt.github.io/calibration.html#retraction]",https://teachingtechyt.github.io/calibration.html#retraction,
1,1,0,,0,My printer has bowden extruder.,Retraction Distance: Adjust retraction distance (with bowden extruder),Try changing your retraction if it's a bowden setup. 2mm is fine for direct drive but for a bowden tube with a mounted extruder your retraction will probably need to be more along the lines of 8mm or so at 30mm/s. I generally use 8mm at 45mm/s and still get minor stuff.,https://the3dprinterbee.com/cura-retraction-settings/,
2,1,0,,1,I am using extra long bowden tube.,Retraction Distance: Adjust retraction distance (with bowden extruder),"With bowden tube really depends on the tube length. I have extra long one so I my retraction is 6.6mm at 60mm/s.

",https://the3dprinterbee.com/cura-retraction-settings/,
3,1,0,,2,Retraction distance is above 10mm.,Retraction Distance: Too much retraction distance,10mm retract is too much. It should make clogging. Try decreasing the retraction distance by 1mm.,https://the3dprinterbee.com/cura-retraction-settings/,
4,0,0,Retraction speed,,,Retraction speed: Too low / high retraction speed,"If you retract too slowly, the plastic will slowly ooze down through the nozzle and may start leaking before the extruder is done moving to its new destination. If you retract too quickly, the filament may separate from the hot plastic inside the nozzle, or the quick movement of the drive gear may even grind away pieces of your filament. There is usually a sweet spot somewhere between 1200-6000 mm/min (20-100 mm/s) where retraction performs best.",https://the3dprinterbee.com/cura-retraction-settings/,
5,0,0,Temperature is too high,3,"I have already adjusted retraction settings, and still have stringing.",Printing temperature is too high,"If the printing temperature is too high, the plastic inside the nozzle will become less viscous and will leak out of the nozzle much more easily. However, if the temperature is too low, the plastic will still be somewhat solid and will have difficulty extruding from the nozzle. Try decreasing your extruder temperature by 5-10 degrees.",,https://www.youtube.com/watch?v=3CGSsDD6TMA
6,1,0,,"4, 5",I am printing PLA at above 230°C with 0.4mm nozzle. / There are big blobs on the surface.,Extruder temperature is too high (PLA),"230°C is way too hot for PLA. When the material is that hot it will just ooze out of the nozzle between steps regardless of how fast and far your retraction is set to. Just remember that print speed and extruder temperature are directly related. When you want to print faster you need to print it hotter to keep up with the demand of the extruder. Most effective thing I have found for stringing is reducing extruder temperature, print small stringing tests and knock the temp down in 5 degree increments until its gone. 200 is pretty hot for PLA, anything around 180-185 will probably give better results with significantly less stringing.",https://all3dp.com/2/the-best-printing-temperature-for-different-filaments/,https://www.youtube.com/watch?v=3CGSsDD6TMA
7,1,0,,6,I am printing PLA with 0.8mm nozzle.,Extruder temperature is too high (PLA & 0.8mm nozzle),Try 220. I once had a 0.8 nozzle installed and had to use higher temps than normal. More plastic to melt.,https://all3dp.com/2/the-best-printing-temperature-for-different-filaments/,https://www.youtube.com/watch?v=3CGSsDD6TMA
8,0,0,Long movements over open spaces,7,I am using Simplify3D for slicing.,Long movements over open spaces,"The length of this movement can have a large impact on how much oozing takes place. Short moves may be quick enough that the plastic does not have time to ooze out of the nozzle. However, long movements are much more likely to create strings. Simplify3D includes an extremely useful feature that can help minimize the length of these movements. To use this feature, click on the Advanced tab and enable the “Avoid crossing outline for travel movement” option.",,
9,1,0,,8,I am using Cura for slicing.,Turn on combing when slicing.,"Turn on combing when slicing. If you have combing mode on, keep it on, but set it to ‘not-in-skin’. Combing will wipe the nozzle on the printed part before moving, and it seems to really help. Setting combing to all will just mess up prints later down the line.",https://www.lpomykal.cz/cura-combing-mode/,
